id_meteo,date,temperature,precipitation,wind_speed,cloud_cover,wind_gusts,apparent_temperature
102,2024-04-11,15.8,0.0,20.9,100,39.6,12.2
103,2024-04-12,19.1,0.0,20.6,100,37.4,16.7
104,2024-04-13,21.0,0.0,23.8,100,44.3,19.0
105,2024-04-14,17.4,0.1,26.9,100,49.7,14.5
106,2024-04-15,13.3,1.4,30.4,100,54.0,10.6
107,2024-04-16,9.5,0.7,30.3,100,56.2,5.4
108,2024-04-17,10.4,0.2,14.8,100,29.2,7.9
109,2024-04-18,10.6,0.3,15.9,100,31.3,6.9
110,2024-04-19,7.8,0.9,26.5,100,47.5,4.6
111,2024-04-20,8.2,0.5,25.7,100,47.5,3.7
112,2024-04-21,8.3,0.9,18.4,99,38.9,4.5
113,2024-04-22,6.2,0.6,14.5,100,30.2,3.4
114,2024-04-23,8.3,0.0,10.9,100,23.8,5.7
115,2024-04-24,10.5,0.2,14.8,100,33.8,6.8
116,2024-04-25,9.2,0.8,16.6,100,33.1,4.9
117,2024-04-26,13.2,0.1,20.9,100,39.2,9.9
118,2024-04-27,19.0,0.0,16.6,100,32.0,16.9
119,2024-04-28,22.6,0.0,18.1,100,35.3,20.9
120,2024-04-29,20.0,0.2,17.7,100,29.5,19.8
121,2024-04-30,26.4,0.0,19.5,99,36.7,25.2
122,2024-05-01,24.9,0.0,26.4,100,47.9,22.3
123,2024-05-02,24.3,0.0,25.8,71,49.3,21.5
124,2024-05-03,22.5,0.6,15.8,100,33.5,22.0
125,2024-05-04,19.1,0.1,14.3,100,24.8,19.1
126,2024-05-05,19.1,6.7,21.0,100,47.2,16.5
127,2024-05-06,18.6,0.0,15.9,100,31.7,16.1
128,2024-05-07,15.9,0.1,22.7,100,38.2,12.9
129,2024-05-08,17.7,0.0,17.2,100,33.5,14.8
130,2024-05-09,18.8,0.0,10.1,100,18.0,18.5
131,2024-05-10,21.0,0.0,9.4,100,21.6,19.3
132,2024-05-11,19.3,0.1,16.3,100,30.6,17.4
133,2024-05-12,20.1,0.0,18.1,100,36.7,16.8
134,2024-05-13,22.8,0.0,18.6,71,36.0,19.7
135,2024-05-14,24.1,0.0,22.1,9,41.0,20.7
136,2024-05-15,25.7,0.0,28.8,99,53.3,21.1
137,2024-05-16,25.5,0.0,32.9,100,61.2,20.3
138,2024-05-17,24.9,0.0,29.6,100,54.4,20.4
139,2024-05-18,20.8,0.2,20.5,100,40.0,18.5
140,2024-05-19,20.7,7.5,14.0,100,34.2,20.6
141,2024-05-20,19.9,9.0,14.8,100,28.4,20.2
142,2024-05-21,25.5,0.1,25.1,100,43.6,23.5
143,2024-05-22,25.6,3.3,24.9,100,43.6,25.8
144,2024-05-23,21.7,0.5,18.0,100,34.9,20.7
145,2024-05-24,23.2,5.7,16.4,100,34.9,21.7
146,2024-05-25,22.8,2.8,14.5,100,29.5,23.2
147,2024-05-26,23.7,0.1,17.3,100,32.4,25.8
148,2024-05-27,22.6,2.9,18.7,100,33.8,24.2
149,2024-05-28,17.9,2.8,18.0,100,33.5,16.7
150,2024-05-29,21.9,1.0,20.9,100,41.4,19.8
151,2024-05-30,21.1,5.8,14.6,100,26.6,21.8
152,2024-05-31,22.4,0.1,11.7,100,24.1,21.9
153,2024-06-01,24.6,0.1,20.4,100,38.5,25.5
154,2024-06-02,22.1,4.8,23.5,100,43.6,22.5
155,2024-06-03,17.5,0.1,16.5,100,30.6,15.5
156,2024-06-04,19.1,0.1,11.3,100,21.2,18.6
157,2024-06-05,20.3,0.7,22.5,100,41.4,19.2
158,2024-06-06,19.4,0.0,18.6,100,35.3,17.5
159,2024-06-07,19.5,0.2,16.9,100,33.1,17.6
160,2024-06-08,23.7,0.0,20.5,99,37.8,22.2
161,2024-06-09,20.8,0.0,23.4,78,43.2,16.5
162,2024-06-10,18.5,0.9,17.9,100,32.0,15.7
163,2024-06-11,17.0,0.7,31.7,100,57.6,12.8
164,2024-06-12,16.7,0.1,20.0,100,41.0,14.3
165,2024-06-13,17.4,0.3,15.5,100,33.5,14.4
166,2024-06-14,18.6,0.4,19.2,100,38.2,16.2
167,2024-06-15,21.8,1.3,26.6,100,51.5,18.5
168,2024-06-16,23.1,0.2,19.2,100,38.5,20.2
169,2024-06-17,24.1,0.8,18.5,100,40.0,23.2
170,2024-06-18,26.1,2.6,10.1,100,23.8,27.3
171,2024-06-19,19.5,0.7,18.4,100,33.5,18.7
172,2024-06-20,22.2,0.0,11.8,100,25.2,22.0
173,2024-06-21,27.6,4.6,17.2,100,42.5,29.3
174,2024-06-22,21.9,1.1,24.8,100,45.7,21.0
175,2024-06-23,21.6,0.0,22.5,100,41.4,19.3
176,2024-06-24,23.5,0.1,11.7,100,19.8,23.9
177,2024-06-25,25.8,0.0,18.8,100,34.6,25.0
178,2024-06-26,28.8,0.0,18.4,100,36.4,30.1
179,2024-06-27,29.0,12.7,12.5,100,29.5,32.5
180,2024-06-28,27.5,2.9,23.0,100,45.4,29.5
181,2024-06-29,28.9,0.2,16.8,100,28.4,28.9
182,2024-06-30,28.0,3.1,26.8,100,54.0,28.8
183,2024-07-01,21.2,3.7,22.5,100,41.4,20.9
184,2024-07-02,16.9,0.2,22.0,100,41.4,14.8
185,2024-07-03,17.6,0.1,18.0,100,34.9,15.9
186,2024-07-04,20.2,1.3,27.8,100,50.0,18.0
187,2024-07-05,20.5,0.0,25.6,100,46.8,17.5
188,2024-07-06,29.7,0.1,25.5,100,51.5,27.8
189,2024-07-07,22.4,0.0,19.1,100,38.9,20.0
190,2024-07-08,25.0,0.0,17.6,100,34.9,24.7
191,2024-07-09,30.6,0.0,17.2,100,29.2,30.3
192,2024-07-10,30.8,1.2,24.8,100,42.5,34.8
193,2024-07-11,25.8,3.0,11.2,100,29.5,26.2
194,2024-07-12,26.6,0.9,21.1,100,40.3,26.6
195,2024-07-13,23.4,1.5,23.1,100,43.2,21.1
196,2024-07-14,24.6,1.1,13.6,100,32.0,23.8
197,2024-07-15,29.0,0.0,15.3,100,27.7,29.1
198,2024-07-16,27.2,1.1,18.3,100,37.1,27.6
199,2024-07-17,23.7,0.1,22.8,100,43.6,21.7
200,2024-07-18,26.1,0.0,12.4,100,26.6,27.2
201,2024-07-19,28.4,0.0,12.7,100,21.2,29.5
202,2024-07-20,30.3,0.0,18.9,100,36.0,30.0
203,2024-07-21,32.2,0.6,15.1,100,32.0,33.3
204,2024-07-22,24.7,0.7,27.5,100,51.8,24.7
205,2024-07-23,27.3,1.1,17.3,100,35.6,25.5
206,2024-07-24,23.5,0.1,21.1,100,42.5,21.8
207,2024-07-25,23.0,0.0,13.4,100,29.2,22.4
208,2024-07-26,25.7,0.8,18.8,100,36.0,23.6
209,2024-07-27,23.3,2.5,12.0,100,25.2,24.7
210,2024-07-28,21.9,3.1,22.7,100,44.6,19.7
211,2024-07-29,23.1,0.0,19.1,97,36.7,21.5
212,2024-07-30,26.3,0.0,7.6,96,19.4,27.6
213,2024-07-31,28.4,0.0,13.3,100,22.3,30.4
214,2024-08-01,26.6,0.0,14.4,100,25.2,28.1
215,2024-08-02,21.1,0.0,14.8,100,29.2,20.4
216,2024-08-03,24.5,0.0,8.6,100,20.5,24.5
217,2024-08-04,22.8,1.7,19.6,100,33.5,22.7
218,2024-08-05,22.2,0.1,16.0,100,31.0,20.7
219,2024-08-06,25.1,0.0,11.6,100,19.8,25.1
220,2024-08-07,28.8,0.0,14.2,100,23.8,30.7
221,2024-08-08,23.4,0.5,17.5,100,35.3,22.4
222,2024-08-09,25.6,1.1,24.0,100,43.6,23.3
223,2024-08-10,26.2,0.0,20.5,96,38.2,24.3
224,2024-08-11,25.1,0.0,18.1,100,35.6,23.5
225,2024-08-12,26.8,0.0,11.4,86,19.1,27.4
226,2024-08-13,29.9,0.0,18.5,100,36.7,28.2
227,2024-08-14,33.0,1.4,19.9,100,39.2,32.3
228,2024-08-15,28.0,0.2,17.3,46,33.8,29.6
229,2024-08-16,29.2,0.0,21.5,95,41.4,29.1
230,2024-08-17,29.5,0.0,13.1,100,23.0,30.7
231,2024-08-18,24.6,0.1,17.9,100,31.0,25.9
232,2024-08-19,22.9,0.0,16.0,100,32.0,21.9
233,2024-08-20,27.3,0.2,15.3,96,31.3,26.8
234,2024-08-21,23.0,0.3,28.4,98,53.3,21.9
235,2024-08-22,24.8,0.0,20.7,100,38.9,21.8
236,2024-08-23,30.5,0.0,27.7,100,51.1,26.4
237,2024-08-24,31.8,0.0,23.0,54,42.8,30.3
238,2024-08-25,25.1,0.0,26.0,100,46.4,24.0
239,2024-08-26,25.0,0.0,10.2,100,24.5,22.9
240,2024-08-27,26.8,0.0,13.8,17,29.9,25.5
241,2024-08-28,30.3,0.0,19.1,4,38.5,29.8
242,2024-08-29,34.2,0.0,12.2,100,24.1,33.9
243,2024-08-30,28.0,1.3,18.8,100,36.0,28.2
244,2024-08-31,23.6,0.0,17.9,100,30.6,22.6
245,2024-09-01,24.8,0.8,16.0,100,34.2,23.0
246,2024-09-02,26.4,0.0,14.2,100,30.2,25.2
247,2024-09-03,32.6,0.1,16.6,100,32.8,33.1
248,2024-09-04,33.7,0.0,23.4,46,44.6,30.9
249,2024-09-05,30.9,0.0,31.8,12,59.0,27.0
250,2024-09-06,29.1,0.0,24.5,28,46.4,26.2
251,2024-09-07,30.9,0.0,16.7,100,33.1,29.8
252,2024-09-08,31.5,0.0,17.4,100,33.8,30.9
253,2024-09-09,23.7,1.8,28.9,100,49.7,23.7
254,2024-09-10,19.0,0.1,22.7,100,41.0,15.7
255,2024-09-11,17.0,0.2,27.0,100,49.7,13.7
256,2024-09-12,15.5,0.1,12.6,100,27.4,13.0
257,2024-09-13,15.1,1.7,23.4,100,40.3,11.4
258,2024-09-14,17.5,0.3,30.9,100,56.2,12.2
259,2024-09-15,18.1,0.1,26.0,100,48.2,14.0
260,2024-09-16,19.0,2.4,25.3,100,48.6,17.3
261,2024-09-17,24.7,0.0,19.5,48,35.6,23.7
262,2024-09-18,25.4,0.0,17.4,100,29.5,24.7
263,2024-09-19,23.7,0.1,22.0,88,40.3,21.6
264,2024-09-20,22.9,0.0,21.8,12,41.0,18.9
265,2024-09-21,22.9,0.0,15.6,19,31.7,20.2
266,2024-09-22,24.0,0.0,14.3,74,29.2,21.8
267,2024-09-23,24.3,0.0,10.7,100,17.6,23.8
268,2024-09-24,17.7,4.6,21.5,100,38.2,17.0
269,2024-09-25,19.2,1.9,20.1,100,46.4,17.4
270,2024-09-26,19.5,1.5,27.6,100,47.9,17.9
271,2024-09-27,19.4,0.4,32.4,100,55.8,14.7
272,2024-09-28,15.3,0.1,36.0,100,61.6,10.9
273,2024-09-29,14.3,0.0,15.4,100,30.2,11.6
274,2024-09-30,15.1,0.0,28.5,100,51.5,9.8
275,2024-10-01,13.3,3.9,24.4,100,42.5,11.4
276,2024-10-02,11.0,1.0,19.6,100,34.9,8.5
277,2024-10-03,14.1,2.4,22.7,100,42.5,10.9
278,2024-10-04,14.5,0.3,22.2,100,40.3,11.7
279,2024-10-05,14.5,0.1,14.7,100,28.8,11.5
280,2024-10-06,12.6,0.0,12.5,100,24.8,10.0
281,2024-10-07,16.0,0.1,15.2,100,28.4,15.6
282,2024-10-08,21.0,3.6,15.4,100,27.0,22.5
283,2024-10-09,19.4,2.1,21.4,100,42.8,17.6
284,2024-10-10,18.6,0.8,37.5,100,69.8,15.1
285,2024-10-11,12.6,0.1,17.1,100,33.1,9.3
286,2024-10-12,13.3,0.0,21.9,100,40.7,9.1
287,2024-10-13,11.9,1.0,36.2,100,65.5,7.5
288,2024-10-14,11.9,0.3,24.3,100,42.8,8.8
289,2024-10-15,12.0,0.0,14.5,100,23.8,10.3
290,2024-10-16,13.8,0.0,26.2,100,46.1,9.2
291,2024-10-17,16.2,0.0,22.7,100,45.0,12.9
292,2024-10-18,17.6,0.0,18.6,100,34.9,15.4
293,2024-10-19,18.7,0.0,19.3,100,36.0,17.7
294,2024-10-20,16.6,0.0,16.1,100,27.0,14.8
295,2024-10-21,18.8,0.8,17.1,100,29.9,18.7
296,2024-10-22,18.0,0.0,27.1,100,50.0,15.1
297,2024-10-23,14.5,0.0,11.2,99,23.0,13.1
298,2024-10-24,13.9,0.0,17.9,100,32.8,11.1
299,2024-10-25,16.4,0.0,11.6,45,20.9,15.3
300,2024-10-26,16.7,0.0,12.2,100,20.2,16.6
301,2024-10-27,15.7,0.1,22.5,100,41.0,13.7
302,2024-10-28,15.9,0.2,17.4,100,31.7,14.5
303,2024-10-29,14.5,0.2,16.4,100,29.9,13.8
304,2024-10-30,14.9,0.0,18.5,100,33.8,12.8
305,2024-10-31,14.4,0.0,21.9,100,40.7,10.9
306,2024-11-01,12.9,0.0,25.6,100,45.7,9.4
307,2024-11-02,11.9,0.2,19.2,100,35.3,9.1
308,2024-11-03,10.0,0.0,12.6,100,24.8,6.8
309,2024-11-04,10.9,0.0,13.0,100,22.0,10.3
310,2024-11-05,10.4,0.0,13.5,100,25.9,8.2
311,2024-11-06,6.5,0.0,7.6,100,11.5,4.9
312,2024-11-07,6.4,0.0,6.4,100,14.0,4.3
313,2024-11-08,6.7,0.0,19.4,100,35.6,2.4
314,2024-11-09,7.5,0.0,15.6,100,29.5,3.9
315,2024-11-10,3.6,0.0,11.0,100,22.7,1.2
316,2024-11-11,7.7,0.1,11.2,100,19.1,5.4
317,2024-11-12,4.8,0.1,11.6,100,19.8,1.8
318,2024-11-13,7.9,0.1,11.6,100,26.3,5.7
319,2024-11-14,9.4,0.1,14.5,100,35.6,6.2
320,2024-11-15,9.2,0.1,14.6,100,36.0,6.4
321,2024-11-16,8.1,0.0,18.2,100,41.0,5.1
322,2024-11-17,7.5,1.1,22.2,100,46.4,3.6
323,2024-11-18,6.1,0.3,25.5,100,55.4,1.1
324,2024-11-19,9.5,5.5,24.3,100,50.8,6.5
325,2024-11-20,2.9,0.3,18.9,100,44.3,-1.4
326,2024-11-21,3.1,0.3,19.5,100,44.6,-1.9
327,2024-11-22,2.8,0.1,18.5,100,42.5,-1.3
328,2024-11-23,4.6,0.0,18.9,100,45.4,1.0
329,2024-11-24,12.0,2.7,23.2,100,44.6,8.8
330,2024-11-25,14.0,0.1,19.2,100,39.2,10.9
331,2024-11-26,10.5,0.4,14.1,100,32.4,8.2
332,2024-11-27,8.0,1.5,23.8,100,46.4,6.1
333,2024-11-28,8.9,2.3,26.6,100,56.2,4.9
334,2024-11-29,5.9,0.1,17.2,100,38.2,2.6
335,2024-11-30,4.8,0.0,11.3,100,23.8,2.0
336,2024-12-01,3.3,0.0,13.2,1,25.9,0.3
337,2024-12-02,5.7,0.0,13.7,100,26.6,2.5
338,2024-12-03,7.3,0.5,13.3,100,27.0,5.0
339,2024-12-04,4.9,0.1,10.4,100,23.4,1.9
340,2024-12-05,4.3,0.1,18.2,100,38.9,0.9
341,2024-12-06,6.8,2.1,19.6,100,39.6,4.7
342,2024-12-07,5.8,0.6,15.2,100,32.0,3.2
343,2024-12-08,4.7,0.3,14.2,100,30.6,1.9
344,2024-12-09,4.5,0.6,16.1,100,34.6,1.1
345,2024-12-10,3.8,0.1,14.8,100,32.8,0.3
346,2024-12-11,3.4,0.0,8.5,100,17.6,0.9
347,2024-12-12,2.9,0.0,3.8,100,7.6,0.7
348,2024-12-13,3.2,0.0,12.5,100,30.2,-0.8
349,2024-12-14,3.1,0.6,18.6,100,46.8,-1.2
350,2024-12-15,8.7,0.8,25.0,100,51.8,4.4
351,2024-12-16,10.7,0.2,27.4,100,58.7,6.5
352,2024-12-17,9.6,0.1,24.2,100,53.6,5.8
353,2024-12-18,11.4,0.4,21.5,100,45.0,7.7
354,2024-12-19,13.1,1.3,23.7,100,50.0,10.1
355,2024-12-20,6.1,0.2,22.0,100,51.8,1.1
356,2024-12-21,6.4,0.4,22.4,100,47.2,2.3
357,2024-12-22,6.8,0.8,22.9,100,46.4,3.1
358,2024-12-23,5.1,0.9,18.6,100,42.5,1.0
359,2024-12-24,4.7,0.0,16.4,100,34.6,1.5
360,2024-12-25,5.0,0.1,9.6,100,18.7,2.6
361,2024-12-26,6.6,0.2,6.4,100,12.6,4.9
362,2024-12-27,5.3,0.0,4.6,100,11.9,3.6
363,2024-12-28,0.1,0.0,5.5,100,13.0,-2.3
364,2024-12-29,1.8,0.0,15.1,100,32.4,-2.4
365,2024-12-30,3.5,0.0,18.6,100,40.3,-0.8
366,2024-12-31,2.8,0.0,19.1,100,40.0,-0.5
