Numéro de boucle;Jour;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total;Probabilité de présence d'anomalies;Jour de la semaine;Boucle de comptage;Date formatée;Vacances
0680;2024-12-31;0;1;4;0;1;3;2;5;8;12;12;13;16;12;17;15;17;16;16;18;10;10;5;0;213;;2;0680 - Stalingrad vers ouest;2024-12-31;Vacances de Noël
0674;2024-12-31;6;3;2;5;1;1;3;11;24;21;14;26;24;28;25;31;49;50;35;27;22;7;7;5;427;;2;0674 - Pont Haudaudine vers Sud;2024-12-31;Vacances de Noël
0677;2024-12-31;0;1;1;0;0;1;5;14;36;15;3;10;18;10;12;15;20;19;9;9;4;1;1;1;205;;2;0677 - Pont Willy Brandt vers Malakoff;2024-12-31;Vacances de Noël
0960;2024-12-31;0;0;0;0;0;0;1;1;2;2;3;4;5;3;3;1;2;3;1;2;0;0;0;0;33;;2;0960 - Sorinières Vers Nord;2024-12-31;Vacances de Noël
0981;2024-12-31;1;0;0;0;0;0;0;0;2;2;0;0;4;1;0;2;8;2;1;2;3;1;0;1;30;;2;0981 - Pont Tabarly vers Nord;2024-12-31;Vacances de Noël
0986;2024-12-31;0;2;1;0;0;0;1;4;7;9;6;14;2;4;1;3;6;4;3;7;2;0;0;0;76;;2;0986 - Tremie vers Ouest;2024-12-31;Vacances de Noël
0989;2024-12-31;3;2;0;2;4;7;7;20;31;21;16;23;49;37;43;52;104;91;47;36;12;15;3;5;630;;2;0989 - Kennedy vers Ouest;2024-12-31;Vacances de Noël
0664;2024-12-31;10;4;1;1;1;3;6;15;39;17;14;14;37;34;28;40;73;42;29;29;23;11;4;9;484;;2;0664 - Bonduelle vers sud;2024-12-31;Vacances de Noël
0672;2024-12-31;1;1;1;0;0;1;5;21;63;27;15;14;18;23;14;15;34;27;14;14;5;3;5;1;322;;2;0672 - Pont de Pornic vers Nord;2024-12-31;Vacances de Noël
0948;2024-12-31;0;0;0;0;0;2;3;3;12;5;4;8;12;8;14;13;13;15;6;3;3;4;0;0;128;;2;0948 - Bd Malakoff vers Est;2024-12-31;Vacances de Noël
0987;2024-12-31;0;0;0;0;0;0;0;3;0;1;3;6;1;0;1;2;8;2;4;2;0;0;0;0;33;;2;0987 - Tremie vers Est;2024-12-31;Vacances de Noël
0890;2024-12-31;17;18;5;5;6;12;19;57;140;95;60;68;73;76;72;94;136;122;97;86;46;19;13;16;1352;;2;0890 - Pont de Pirmil vers Sud;2024-12-31;Vacances de Noël
0682;2024-12-31;1;0;0;0;0;1;1;0;4;1;0;0;0;8;8;14;25;26;16;25;11;6;2;4;153;;2;0682 - pont Anne de Bretagne vers Sud;2024-12-31;Vacances de Noël
0742;2024-12-31;3;2;1;0;2;3;6;21;65;48;19;27;31;34;25;28;48;42;36;35;14;9;10;6;515;;2;0742 - Philippot vers Est;2024-12-31;Vacances de Noël
0743;2024-12-31;0;0;0;0;0;0;0;0;0;0;0;1;2;28;21;46;28;1;1;0;1;1;0;0;130;;2;0743 - Philippot vers ouest;2024-12-31;Vacances de Noël
0745;2024-12-31;3;2;2;2;1;0;1;6;9;9;12;21;29;35;24;30;32;28;25;16;21;8;5;5;326;;2;0745 - Calvaire vers Ouest;2024-12-31;Vacances de Noël
0747;2024-12-31;0;0;0;0;0;0;1;4;20;9;9;13;19;15;6;14;33;30;13;7;2;1;0;1;197;;2;0747 - Chemin de halage Tortière vers Nord;2024-12-31;Vacances de Noël
1056;2024-12-31;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;2;1056 -;2024-12-31;Vacances de Noël
9999;2024-12-31;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;2;9999 -;2024-12-31;Vacances de Noël
0683;2024-12-31;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;2;0683 - pont Anne de Bretagne vers Nord;2024-12-31;Vacances de Noël
0727;2024-12-31;0;1;0;1;1;2;2;11;34;6;6;12;14;14;10;14;23;17;3;12;7;6;1;2;199;;2;0727 - Pont Tabarly vers Nord;2024-12-31;Vacances de Noël
0847;2024-12-31;14;11;9;8;3;5;12;39;98;65;25;45;68;75;69;71;135;128;91;70;43;19;12;11;1126;;2;0847 - Entrée pont Audibert vers Sud;2024-12-31;Vacances de Noël
1054;2024-12-31;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;2;1054 -;2024-12-31;Vacances de Noël
0787;2024-12-31;2;3;3;4;1;2;6;27;92;55;50;62;77;55;74;52;72;82;44;50;40;19;16;13;901;;2;0787 - 50 Otages Vers Sud;2024-12-31;Vacances de Noël
0788;2024-12-31;7;10;2;2;0;2;5;10;40;32;34;49;62;58;40;62;88;82;56;62;31;28;16;11;789;;2;0788 - 50 Otages Vers Nord;2024-12-31;Vacances de Noël
0945;2024-12-31;1;0;4;1;0;1;3;8;25;21;6;13;16;8;14;17;42;23;14;13;9;3;0;3;245;;2;0945 - Magellan vers Ouest;2024-12-31;Vacances de Noël
0947;2024-12-31;0;0;0;0;0;2;0;9;21;11;6;9;13;6;7;8;13;8;3;2;1;1;1;0;121;;2;0947 - Bd Malakoff vers Ouest;2024-12-31;Vacances de Noël
0977;2024-12-31;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;4;2;0;0;2;4;2;2;2;24;;2;0977 - pont des 3 Continents vers Nord;2024-12-31;Vacances de Noël
0980;2024-12-31;0;0;0;0;0;0;1;0;0;1;1;2;1;0;0;3;3;0;0;0;1;2;0;0;15;;2;0980 - Pont Tabarly vers Sud;2024-12-31;Vacances de Noël
0994;2024-12-31;4;2;0;1;0;1;2;3;14;10;16;20;24;22;12;19;43;38;24;14;4;3;3;2;281;;2;0994 - Ceineray vers Est;2024-12-31;Vacances de Noël
0995;2024-12-31;1;0;0;1;0;1;4;17;65;38;23;25;27;21;25;26;42;32;21;19;13;5;3;9;418;;2;0995 - Ceineray vers Ouest;2024-12-31;Vacances de Noël
1041;2024-12-31;0;2;0;0;0;0;0;5;12;1;0;2;0;4;2;2;11;11;7;6;1;1;1;0;68;;2;1041 - Guy Mollet vers Nord;2024-12-31;Vacances de Noël
1057;2024-12-31;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;2;1057 -;2024-12-31;Vacances de Noël
8672;2024-12-31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;2;8672 -;2024-12-31;Vacances de Noël
8673;2024-12-31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;2;8673 -;2024-12-31;Vacances de Noël
9998;2024-12-31;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;2;9998 -;2024-12-31;Vacances de Noël
0667;2024-12-30;4;3;2;2;3;9;13;45;120;63;22;33;59;57;52;52;67;101;71;48;24;15;9;8;882;;1;0667 - Entrée pont Audibert vers Nord;2024-12-30;Vacances de Noël
0670;2024-12-30;1;1;1;0;1;0;2;6;9;9;2;11;14;5;8;6;7;14;22;13;7;4;2;5;150;;1;0670 - Pont de Pirmil vers Sud;2024-12-30;Vacances de Noël
0881;2024-12-30;4;3;4;1;2;5;6;32;83;60;27;40;59;54;68;57;87;130;102;69;33;24;13;5;968;;1;0881 - Madeleine vers Sud;2024-12-30;Vacances de Noël
0682;2024-12-30;2;2;0;2;0;3;0;2;5;6;2;3;0;1;1;1;4;3;2;1;3;1;0;0;44;;1;0682 - pont Anne de Bretagne vers Sud;2024-12-30;Vacances de Noël
0747;2024-12-30;2;2;0;0;0;0;1;5;16;10;10;9;18;3;8;7;13;34;34;14;3;3;2;2;196;;1;0747 - Chemin de halage Tortière vers Nord;2024-12-30;Vacances de Noël
0785;2024-12-30;9;6;0;1;3;5;21;53;163;79;45;56;77;76;62;79;85;151;122;76;44;29;21;13;1276;;1;0785 - 50 Otages Vers Sud;2024-12-30;Vacances de Noël
0880;2024-12-30;9;1;3;3;4;4;7;37;98;48;25;35;43;54;40;44;65;102;92;62;39;23;16;21;875;;1;0880 - Madeleine vers Nord;2024-12-30;Vacances de Noël
0945;2024-12-30;2;2;2;0;0;1;6;15;23;18;9;9;17;21;9;6;24;44;25;10;5;6;4;1;259;;1;0945 - Magellan vers Ouest;2024-12-30;Vacances de Noël
0994;2024-12-30;0;1;0;1;0;1;1;5;17;12;11;8;19;15;10;14;27;75;55;19;19;6;5;4;325;;1;0994 - Ceineray vers Est;2024-12-30;Vacances de Noël
0995;2024-12-30;4;0;0;0;0;1;7;23;99;40;16;13;29;26;34;20;23;45;38;22;14;3;3;5;465;;1;0995 - Ceineray vers Ouest;2024-12-30;Vacances de Noël
1055;2024-12-30;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;1;1055 -;2024-12-30;Vacances de Noël
9672;2024-12-30;3;2;1;0;3;1;5;25;73;35;12;9;29;19;18;24;36;48;30;28;13;6;11;1;432;;1;9672 -;2024-12-30;Vacances de Noël
0946;2024-12-30;1;1;1;1;0;1;2;16;49;26;5;16;22;25;14;16;28;32;30;14;9;2;3;3;317;;1;0946 - Magellan vers Est;2024-12-30;Vacances de Noël
0948;2024-12-30;0;0;0;0;2;1;3;8;13;10;3;8;10;10;9;17;17;23;18;9;2;3;1;1;168;;1;0948 - Bd Malakoff vers Est;2024-12-30;Vacances de Noël
0959;2024-12-30;0;0;0;0;1;3;3;6;2;2;3;0;4;4;0;1;4;1;1;5;2;0;0;0;42;;1;0959 - Sorinières Vers Sud;2024-12-30;Vacances de Noël
0989;2024-12-30;1;4;0;1;3;4;9;39;48;24;14;27;35;31;29;33;59;119;85;45;29;20;11;9;679;;1;0989 - Kennedy vers Ouest;2024-12-30;Vacances de Noël
0669;2024-12-30;0;1;0;0;0;6;4;32;72;37;5;18;23;18;18;14;21;32;22;17;4;4;0;3;351;;1;0669 - De Gaulle sortie Clémenceau vers Nord;2024-12-30;Vacances de Noël
