Numéro de boucle;Jour;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total;Probabilité de présence d'anomalies;Jour de la semaine;Boucle de comptage;Date formatée;Vacances
0943;2024-11-18;0;1;0;0;0;0;3;11;45;19;5;8;4;17;3;9;10;30;46;20;16;4;4;5;260;;1;0943 - Magellan vers Ouest;2024-11-18;Hors Vacances
0948;2024-11-18;0;1;0;0;0;0;5;23;55;30;13;10;22;23;9;17;21;74;73;26;13;3;0;2;420;;1;0948 - Bd Malakoff vers Est;2024-11-18;Hors Vacances
0949;2024-11-18;3;0;0;3;1;1;2;8;14;10;6;7;7;13;5;13;24;61;56;21;8;6;8;1;278;;1;0949 - avenue de la Libération vers Sud;2024-11-18;Hors Vacances
0980;2024-11-18;0;0;0;0;0;0;0;3;4;3;3;3;3;1;0;2;6;6;2;3;2;1;0;0;42;;1;0980 - Pont Tabarly vers Sud;2024-11-18;Hors Vacances
1041;2024-11-18;0;0;0;0;0;0;4;36;121;31;6;9;15;6;20;11;26;51;48;19;9;6;2;1;421;;1;1041 - Guy Mollet vers Nord;2024-11-18;Hors Vacances
0746;2024-11-18;0;0;1;0;0;0;3;44;148;37;17;23;35;39;18;23;87;164;136;67;19;5;5;2;873;;1;0746 - Chemin de halage Tortière vers Sud;2024-11-18;Hors Vacances
0847;2024-11-18;10;6;4;2;3;6;21;95;342;183;75;71;130;118;80;80;152;296;368;180;103;60;33;24;2442;;1;0847 - Entrée pont Audibert vers Sud;2024-11-18;Hors Vacances
0674;2024-11-18;2;1;0;0;0;0;3;41;162;123;34;37;52;71;48;43;82;131;155;79;43;23;27;14;1171;;1;0674 - Pont Haudaudine vers Sud;2024-11-18;Hors Vacances
0675;2024-11-18;3;0;0;0;1;1;11;74;174;88;29;43;77;75;39;33;42;146;149;99;60;25;13;6;1188;;1;0675 - Pont Haudaudine vers Nord;2024-11-18;Hors Vacances
0676;2024-11-18;2;3;0;0;4;3;6;51;212;81;16;17;47;50;16;22;30;123;134;51;14;16;4;2;904;;1;0676 - Pont Willy Brandt vers Beaulieu;2024-11-18;Hors Vacances
0677;2024-11-18;0;1;0;0;2;4;24;51;138;71;10;20;39;44;16;18;37;122;94;45;17;10;6;2;771;;1;0677 - Pont Willy Brandt vers Malakoff;2024-11-18;Hors Vacances
0881;2024-11-18;2;0;1;0;2;5;21;99;293;153;60;47;106;99;71;63;106;257;291;144;88;40;9;7;1964;;1;0881 - Madeleine vers Sud;2024-11-18;Hors Vacances
0747;2024-11-18;1;0;0;0;0;0;8;99;219;99;27;17;32;55;19;20;23;88;104;46;26;3;4;2;892;;1;0747 - Chemin de halage Tortière vers Nord;2024-11-18;Hors Vacances
0785;2024-11-18;5;3;3;4;5;12;48;162;642;294;87;121;176;201;102;73;109;309;358;182;89;51;34;20;3090;;1;0785 - 50 Otages Vers Sud;2024-11-18;Hors Vacances
0945;2024-11-18;1;0;0;0;0;2;9;23;134;70;21;22;38;50;15;19;42;103;133;56;40;19;12;11;820;;1;0945 - Magellan vers Ouest;2024-11-18;Hors Vacances
0950;2024-11-18;0;1;0;0;2;6;14;78;205;58;17;15;26;34;18;15;16;41;29;16;9;9;5;3;617;;1;0950 - avenue de la Libération vers Nord;2024-11-18;Hors Vacances
0960;2024-11-18;0;0;0;0;0;1;1;5;14;9;5;2;6;4;1;1;4;16;7;3;2;0;1;0;82;;1;0960 - Sorinières Vers Nord;2024-11-18;Hors Vacances
0977;2024-11-18;0;0;0;0;0;0;0;2;4;0;0;0;2;0;0;2;0;4;0;2;0;2;4;0;22;;1;0977 - pont des 3 Continents vers Nord;2024-11-18;Hors Vacances
0987;2024-11-18;0;0;0;0;1;2;1;2;8;0;3;0;0;1;2;0;0;6;3;5;0;0;0;0;34;;1;0987 - Tremie vers Est;2024-11-18;Hors Vacances
0994;2024-11-18;0;0;0;0;0;1;2;36;105;45;8;16;37;30;10;15;25;107;142;62;25;16;13;5;700;;1;0994 - Ceineray vers Est;2024-11-18;Hors Vacances
0664;2024-11-18;3;6;0;0;2;2;15;68;215;101;27;28;62;68;37;50;80;199;223;93;38;17;24;15;1373;;1;0664 - Bonduelle vers sud;2024-11-18;Hors Vacances
0682;2024-11-18;2;1;0;2;1;3;21;93;384;233;52;35;71;104;46;32;64;179;194;98;40;17;18;3;1693;;1;0682 - pont Anne de Bretagne vers Sud;2024-11-18;Hors Vacances
0880;2024-11-18;7;5;2;1;3;4;21;95;336;157;50;51;106;95;65;58;94;183;268;120;47;30;31;10;1839;;1;0880 - Madeleine vers Nord;2024-11-18;Hors Vacances
1055;2024-11-18;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;1;1055 -;2024-11-18;Hors Vacances
1056;2024-11-18;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;1;1056 -;2024-11-18;Hors Vacances
8672;2024-11-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;1;8672 -;2024-11-18;Hors Vacances
9672;2024-11-18;1;1;1;0;0;2;16;99;352;121;23;30;58;53;25;33;52;129;107;59;18;12;4;2;1198;;1;9672 -;2024-11-18;Hors Vacances
0669;2024-11-18;0;2;0;0;2;12;23;114;334;117;29;24;37;44;22;24;30;73;58;30;11;12;11;5;1014;;1;0669 - De Gaulle sortie Clémenceau vers Nord;2024-11-18;Hors Vacances
0727;2024-11-18;1;0;3;1;2;6;10;57;117;35;18;26;29;31;15;12;29;84;56;25;12;10;3;3;585;;1;0727 - Pont Tabarly vers Nord;2024-11-18;Hors Vacances
0788;2024-11-18;3;4;2;1;0;3;9;79;221;115;39;60;102;110;72;73;90;276;344;163;81;53;51;23;1974;;1;0788 - 50 Otages Vers Nord;2024-11-18;Hors Vacances
0988;2024-11-18;4;5;1;0;1;3;21;122;440;158;32;26;53;72;38;30;62;131;159;78;44;22;15;7;1524;;1;0988 - Kennedy vers Est;2024-11-18;Hors Vacances
8673;2024-11-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;1;8673 -;2024-11-18;Hors Vacances
9999;2024-11-18;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;1;9999 -;2024-11-18;Hors Vacances
0666;2024-11-18;0;0;0;0;1;0;1;9;20;16;6;8;17;12;5;12;19;31;36;14;10;5;3;1;226;;1;0666 - Pont Audibert vers Sud;2024-11-18;Hors Vacances
0667;2024-11-18;4;0;1;0;3;12;45;181;556;244;95;77;146;147;83;69;108;296;322;159;90;45;17;11;2711;;1;0667 - Entrée pont Audibert vers Nord;2024-11-18;Hors Vacances
0679;2024-11-18;0;0;0;0;1;0;0;2;12;2;4;4;9;8;5;6;6;7;11;2;6;0;1;0;86;;1;0679 - Bd Malakoff vers Gare Sud;2024-11-18;Hors Vacances
0743;2024-11-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;1;0743 - Philippot vers ouest;2024-11-18;Hors Vacances
0947;2024-11-18;0;0;0;0;0;0;1;28;144;47;12;7;12;21;7;8;19;35;24;18;5;4;2;1;395;;1;0947 - Bd Malakoff vers Ouest;2024-11-18;Hors Vacances
0676;2024-11-17;3;6;5;0;0;1;0;2;10;11;18;15;27;17;18;19;18;13;8;17;3;4;10;2;227;;7;0676 - Pont Willy Brandt vers Beaulieu;2024-11-17;Hors Vacances
0946;2024-11-17;14;11;5;4;1;1;6;1;5;15;12;15;20;16;9;21;30;21;19;19;8;4;1;3;261;;7;0946 - Magellan vers Est;2024-11-17;Hors Vacances
0960;2024-11-17;0;0;0;0;0;0;0;0;0;2;4;4;1;0;3;2;1;1;0;0;0;0;2;0;20;;7;0960 - Sorinières Vers Nord;2024-11-17;Hors Vacances
1042;2024-11-17;1;0;0;0;1;0;0;0;4;3;5;15;7;3;5;6;13;6;2;6;3;1;1;0;82;;7;1042 - Guy Mollet vers Sud;2024-11-17;Hors Vacances
9673;2024-11-17;7;6;8;6;1;0;2;1;5;5;14;11;24;13;13;17;21;19;19;17;9;3;3;5;229;;7;9673 -;2024-11-17;Hors Vacances
9998;2024-11-17;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;7;9998 -;2024-11-17;Hors Vacances
9999;2024-11-17;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;7;9999 -;2024-11-17;Hors Vacances
0746;2024-11-17;1;0;1;1;0;0;0;3;4;6;22;39;30;13;22;19;55;25;18;3;1;1;0;0;264;;7;0746 - Chemin de halage Tortière vers Sud;2024-11-17;Hors Vacances
0948;2024-11-17;4;0;0;1;0;1;1;1;4;25;20;11;13;8;13;15;16;9;8;4;4;3;2;1;164;;7;0948 - Bd Malakoff vers Est;2024-11-17;Hors Vacances
0950;2024-11-17;2;2;0;1;2;1;2;3;3;6;9;24;20;13;8;18;7;20;12;12;5;2;3;0;175;;7;0950 - avenue de la Libération vers Nord;2024-11-17;Hors Vacances
0979;2024-11-17;10;5;4;0;1;0;4;2;12;17;19;33;24;22;12;21;19;20;11;12;3;4;4;0;259;;7;0979 - pont des 3 Continents vers Sud;2024-11-17;Hors Vacances
0994;2024-11-17;8;8;12;1;0;1;1;1;2;7;5;9;9;4;3;8;16;10;24;17;5;12;8;4;175;;7;0994 - Ceineray vers Est;2024-11-17;Hors Vacances
0670;2024-11-17;10;7;1;1;6;1;2;2;6;29;13;15;12;7;10;10;10;4;16;5;5;4;2;1;179;;7;0670 - Pont de Pirmil vers Sud;2024-11-17;Hors Vacances
1041;2024-11-17;0;0;0;1;1;1;2;4;2;7;3;9;7;2;1;3;3;6;2;4;3;2;3;1;67;;7;1041 - Guy Mollet vers Nord;2024-11-17;Hors Vacances
0681;2024-11-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;7;0681 - Stalingrad vers est;2024-11-17;Hors Vacances
0745;2024-11-17;11;8;10;3;2;1;1;2;7;2;5;12;30;19;16;19;16;21;33;19;20;19;17;1;294;;7;0745 - Calvaire vers Ouest;2024-11-17;Hors Vacances
0679;2024-11-17;0;1;0;0;0;0;1;0;0;0;0;1;4;6;1;0;2;1;0;4;2;1;1;0;25;;7;0679 - Bd Malakoff vers Gare Sud;2024-11-17;Hors Vacances
0672;2024-11-17;8;8;3;4;1;0;0;2;6;3;16;10;29;15;11;13;12;16;10;12;7;2;4;3;195;;7;0672 - Pont de Pornic vers Nord;2024-11-17;Hors Vacances
0675;2024-11-17;10;10;11;3;3;1;1;6;5;13;12;24;30;20;17;37;12;32;21;24;12;5;6;3;318;;7;0675 - Pont Haudaudine vers Nord;2024-11-17;Hors Vacances
0677;2024-11-17;8;7;0;0;0;0;1;2;2;5;12;12;25;14;7;10;16;17;14;9;4;2;4;2;173;;7;0677 - Pont Willy Brandt vers Malakoff;2024-11-17;Hors Vacances
0980;2024-11-17;1;0;0;0;0;1;0;0;0;0;0;2;1;0;3;7;2;2;0;0;0;1;0;0;20;;7;0980 - Pont Tabarly vers Sud;2024-11-17;Hors Vacances
0786;2024-11-17;40;39;15;10;5;6;9;9;12;26;57;78;113;66;39;74;51;80;82;78;49;40;21;9;1008;;7;0786 - 50 Otages Vers Nord;2024-11-17;Hors Vacances
0881;2024-11-17;11;10;7;5;1;2;6;4;19;21;55;58;81;50;27;58;45;81;61;48;29;18;14;2;713;;7;0881 - Madeleine vers Sud;2024-11-17;Hors Vacances
0744;2024-11-17;8;6;1;2;2;0;0;2;6;13;23;25;30;21;23;22;18;35;33;15;26;16;11;2;340;;7;0744 - Calvaire vers Est;2024-11-17;Hors Vacances
0880;2024-11-17;36;39;20;14;6;2;8;8;14;25;24;39;56;41;30;32;38;44;59;48;26;18;23;11;661;;7;0880 - Madeleine vers Nord;2024-11-17;Hors Vacances
0995;2024-11-17;9;3;4;3;1;3;0;4;10;14;29;35;31;20;27;34;38;28;14;14;8;4;4;6;343;;7;0995 - Ceineray vers Ouest;2024-11-17;Hors Vacances
0996;2024-11-17;7;5;4;1;0;0;0;3;7;13;12;8;26;11;9;20;21;20;23;9;3;5;1;5;213;;7;0996 - Van Iseghem vers Nord;2024-11-17;Hors Vacances
0997;2024-11-17;1;1;1;1;2;0;0;2;9;7;21;22;21;9;14;17;23;20;11;3;1;6;3;1;196;;7;0997 - Van Iseghem vers Sud;2024-11-17;Hors Vacances
1055;2024-11-17;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;7;1055 -;2024-11-17;Hors Vacances
8672;2024-11-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;7;8672 -;2024-11-17;Hors Vacances
0668;2024-11-17;9;12;6;2;2;0;2;3;1;11;10;21;21;13;23;14;14;26;23;16;9;9;8;1;256;;7;0668 - De Gaulle vers sud;2024-11-17;Hors Vacances
0727;2024-11-17;1;4;1;0;0;0;2;1;2;15;23;25;17;10;12;11;19;13;12;5;8;5;2;0;188;;7;0727 - Pont Tabarly vers Nord;2024-11-17;Hors Vacances
0742;2024-11-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;7;0742 - Philippot vers Est;2024-11-17;Hors Vacances
0725;2024-11-17;2;3;0;1;2;1;1;2;4;10;9;20;21;18;13;7;12;12;9;11;12;5;5;3;183;;7;0725 - Pont Tabarly vers Sud;2024-11-17;Hors Vacances
0664;2024-11-17;24;10;16;8;5;2;3;6;9;15;8;25;19;24;21;24;19;25;18;27;17;17;15;1;358;;7;0664 - Bonduelle vers sud;2024-11-17;Hors Vacances
0674;2024-11-17;19;13;9;10;3;3;1;6;2;17;16;18;29;19;20;24;26;33;24;25;18;18;16;10;379;;7;0674 - Pont Haudaudine vers Sud;2024-11-17;Hors Vacances
1057;2024-11-17;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;7;1057 -;2024-11-17;Hors Vacances
8673;2024-11-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;7;8673 -;2024-11-17;Hors Vacances
0949;2024-11-17;2;4;3;3;1;0;3;0;3;1;4;1;7;9;8;0;3;9;15;8;6;0;3;0;93;;7;0949 - avenue de la Libération vers Sud;2024-11-17;Hors Vacances
0981;2024-11-17;1;2;0;0;0;0;0;0;0;0;4;8;8;5;3;3;3;7;5;3;0;0;0;0;52;;7;0981 - Pont Tabarly vers Nord;2024-11-17;Hors Vacances
0665;2024-11-17;6;2;6;1;1;3;3;6;9;15;12;15;35;19;19;22;48;15;17;17;8;13;4;3;299;;7;0665 - Bonduelle vers Nord;2024-11-17;Hors Vacances
0667;2024-11-17;19;23;11;10;2;6;16;5;16;29;56;67;81;56;35;75;67;100;73;57;30;19;13;2;868;;7;0667 - Entrée pont Audibert vers Nord;2024-11-17;Hors Vacances
0669;2024-11-17;5;1;1;0;1;5;3;2;3;15;16;14;20;9;18;23;46;16;18;12;3;8;3;3;245;;7;0669 - De Gaulle sortie Clémenceau vers Nord;2024-11-17;Hors Vacances
0943;2024-11-17;1;9;0;0;0;0;1;1;0;3;7;4;8;6;5;3;8;6;9;2;2;0;0;0;75;;7;0943 - Magellan vers Ouest;2024-11-17;Hors Vacances
0977;2024-11-17;0;0;2;0;0;0;0;0;0;2;0;4;2;4;0;4;4;8;0;2;2;0;0;0;34;;7;0977 - pont des 3 Continents vers Nord;2024-11-17;Hors Vacances
0987;2024-11-17;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;2;1;0;0;0;0;7;;7;0987 - Tremie vers Est;2024-11-17;Hors Vacances
0988;2024-11-17;3;0;0;2;0;0;4;2;9;22;19;19;27;30;18;29;57;44;54;37;17;33;7;5;438;;7;0988 - Kennedy vers Est;2024-11-17;Hors Vacances
0787;2024-11-17;23;17;14;8;3;3;2;6;34;33;60;63;72;54;43;84;70;86;57;49;36;17;15;7;856;;7;0787 - 50 Otages Vers Sud;2024-11-17;Hors Vacances
0890;2024-11-17;31;47;26;11;8;11;15;11;28;75;71;74;105;72;48;75;83;88;79;65;34;16;19;6;1098;;7;0890 - Pont de Pirmil vers Sud;2024-11-17;Hors Vacances
0682;2024-11-17;19;22;7;11;2;1;5;7;19;32;47;42;65;30;36;59;68;63;40;31;19;4;9;5;643;;7;0682 - pont Anne de Bretagne vers Sud;2024-11-17;Hors Vacances
0683;2024-11-17;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;7;0683 - pont Anne de Bretagne vers Nord;2024-11-17;Hors Vacances
0847;2024-11-17;42;60;33;27;10;2;5;9;25;36;38;52;70;48;39;51;59;61;80;63;45;25;25;20;925;;7;0847 - Entrée pont Audibert vers Sud;2024-11-17;Hors Vacances
9672;2024-11-17;12;11;2;8;1;0;0;2;6;5;17;16;31;19;16;19;19;27;20;16;12;3;5;5;272;;7;9672 -;2024-11-17;Hors Vacances
0666;2024-11-17;2;0;3;2;0;1;0;0;2;8;5;0;5;2;4;4;3;4;3;6;3;1;2;0;60;;7;0666 - Pont Audibert vers Sud;2024-11-17;Hors Vacances
0673;2024-11-17;10;9;5;11;1;0;2;2;5;7;15;17;21;16;16;19;24;25;26;22;13;3;5;4;278;;7;0673 - Pont de Pornic vers Sud;2024-11-17;Hors Vacances
0743;2024-11-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;7;0743 - Philippot vers ouest;2024-11-17;Hors Vacances
0747;2024-11-17;4;5;2;0;0;0;0;5;12;21;26;21;24;19;12;18;23;23;22;4;2;4;7;0;254;;7;0747 - Chemin de halage Tortière vers Nord;2024-11-17;Hors Vacances
0788;2024-11-17;39;28;28;9;7;1;6;5;12;22;48;59;85;47;20;36;48;67;87;55;34;37;22;12;814;;7;0788 - 50 Otages Vers Nord;2024-11-17;Hors Vacances
0947;2024-11-17;0;0;0;0;1;0;0;2;4;4;12;25;14;20;7;17;19;14;8;4;4;0;0;1;156;;7;0947 - Bd Malakoff vers Ouest;2024-11-17;Hors Vacances
0986;2024-11-17;0;2;0;0;0;0;0;1;3;5;2;3;3;4;3;5;2;6;6;4;3;4;0;0;56;;7;0986 - Tremie vers Ouest;2024-11-17;Hors Vacances
0989;2024-11-17;12;21;16;5;5;5;5;6;8;17;26;35;44;26;26;23;41;43;46;63;24;17;14;11;539;;7;0989 - Kennedy vers Ouest;2024-11-17;Hors Vacances
1054;2024-11-17;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;7;1054 -;2024-11-17;Hors Vacances
0680;2024-11-17;8;4;0;3;1;0;2;0;9;14;13;18;14;10;12;18;19;17;23;23;11;10;3;5;237;;7;0680 - Stalingrad vers ouest;2024-11-17;Hors Vacances
0785;2024-11-17;25;36;19;17;8;4;5;14;34;56;73;70;81;69;63;82;86;71;80;58;46;28;24;15;1064;;7;0785 - 50 Otages Vers Sud;2024-11-17;Hors Vacances
0944;2024-11-17;1;3;0;1;0;0;1;2;1;5;7;8;10;8;1;10;7;11;7;2;5;0;2;2;94;;7;0944 - Magellan vers Est;2024-11-17;Hors Vacances
0945;2024-11-17;7;20;8;7;0;0;0;2;6;6;16;11;15;8;11;13;19;18;19;17;12;2;5;6;228;;7;0945 - Magellan vers Ouest;2024-11-17;Hors Vacances
0959;2024-11-17;0;0;0;0;0;1;1;0;2;1;5;1;3;4;3;3;2;1;0;0;1;1;0;0;29;;7;0959 - Sorinières Vers Sud;2024-11-17;Hors Vacances
1056;2024-11-17;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;7;1056 -;2024-11-17;Hors Vacances
0665;2024-11-16;11;4;3;2;1;1;3;18;14;25;31;29;40;26;35;28;36;32;40;33;32;20;3;5;472;;6;0665 - Bonduelle vers Nord;2024-11-16;Hors Vacances
0668;2024-11-16;24;8;6;2;4;1;2;3;13;14;9;23;20;27;51;22;22;40;21;26;11;14;15;17;395;;6;0668 - De Gaulle vers sud;2024-11-16;Hors Vacances
0670;2024-11-16;9;4;5;4;2;0;1;4;7;10;12;17;15;7;25;16;11;12;16;13;7;10;9;10;226;;6;0670 - Pont de Pirmil vers Sud;2024-11-16;Hors Vacances
0674;2024-11-16;17;8;10;6;5;3;3;2;5;39;30;34;58;32;39;58;55;49;53;95;33;16;22;23;695;;6;0674 - Pont Haudaudine vers Sud;2024-11-16;Hors Vacances
0788;2024-11-16;49;40;18;15;8;5;6;13;22;50;62;97;118;93;102;110;98;132;129;108;65;45;40;59;1484;;6;0788 - 50 Otages Vers Nord;2024-11-16;Hors Vacances
0744;2024-11-16;11;7;3;2;1;3;5;15;13;31;52;44;40;45;49;68;60;62;69;33;39;19;12;12;695;;6;0744 - Calvaire vers Est;2024-11-16;Hors Vacances
0785;2024-11-16;50;46;19;10;8;5;9;22;52;97;113;124;126;103;124;158;137;171;137;162;78;59;44;46;1900;;6;0785 - 50 Otages Vers Sud;2024-11-16;Hors Vacances
0847;2024-11-16;68;56;33;17;9;3;7;8;29;60;66;85;101;67;86;85;91;139;134;130;55;47;46;52;1474;;6;0847 - Entrée pont Audibert vers Sud;2024-11-16;Hors Vacances
0949;2024-11-16;6;0;2;1;1;1;0;1;6;6;5;9;16;9;17;12;12;17;8;11;1;2;4;6;153;;6;0949 - avenue de la Libération vers Sud;2024-11-16;Hors Vacances
0986;2024-11-16;3;3;0;0;1;0;0;2;4;14;4;10;10;10;4;7;14;13;11;16;2;16;2;3;149;;6;0986 - Tremie vers Ouest;2024-11-16;Hors Vacances
1054;2024-11-16;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;6;1054 -;2024-11-16;Hors Vacances
1055;2024-11-16;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;6;1055 -;2024-11-16;Hors Vacances
0786;2024-11-16;75;41;21;23;10;4;7;21;47;79;104;119;138;147;128;158;152;179;139;105;99;53;43;59;1951;;6;0786 - 50 Otages Vers Nord;2024-11-16;Hors Vacances
0950;2024-11-16;1;2;1;0;3;1;3;3;15;26;22;26;30;9;18;24;21;10;15;18;11;6;3;3;271;;6;0950 - avenue de la Libération vers Nord;2024-11-16;Hors Vacances
0959;2024-11-16;0;0;0;1;1;3;1;3;1;4;3;5;2;2;4;4;1;4;3;1;1;1;1;1;47;;6;0959 - Sorinières Vers Sud;2024-11-16;Hors Vacances
0989;2024-11-16;41;20;9;12;9;4;10;16;17;34;55;58;52;73;63;68;61;88;60;66;32;30;30;26;934;;6;0989 - Kennedy vers Ouest;2024-11-16;Hors Vacances
0994;2024-11-16;8;4;2;1;2;2;0;1;4;3;10;22;40;21;10;40;31;36;38;25;16;12;5;17;350;;6;0994 - Ceineray vers Est;2024-11-16;Hors Vacances
1042;2024-11-16;0;0;0;0;1;0;1;1;4;6;7;3;8;4;6;11;8;4;11;9;3;2;0;2;91;;6;1042 - Guy Mollet vers Sud;2024-11-16;Hors Vacances
0669;2024-11-16;5;3;3;0;3;2;2;7;21;28;37;18;24;16;22;30;20;21;28;28;20;10;5;4;357;;6;0669 - De Gaulle sortie Clémenceau vers Nord;2024-11-16;Hors Vacances
0725;2024-11-16;7;2;3;0;1;2;3;1;11;7;20;19;12;19;21;21;12;15;17;14;7;2;8;2;226;;6;0725 - Pont Tabarly vers Sud;2024-11-16;Hors Vacances
0943;2024-11-16;1;1;0;0;0;0;1;4;1;3;2;8;3;6;16;7;7;11;9;5;2;5;0;4;96;;6;0943 - Magellan vers Ouest;2024-11-16;Hors Vacances
0944;2024-11-16;5;0;1;0;0;2;0;1;0;2;9;11;8;7;12;7;12;13;14;6;9;1;3;1;124;;6;0944 - Magellan vers Est;2024-11-16;Hors Vacances
0945;2024-11-16;26;11;6;4;0;1;2;6;7;13;16;26;26;15;28;27;22;22;32;38;17;8;6;15;374;;6;0945 - Magellan vers Ouest;2024-11-16;Hors Vacances
0960;2024-11-16;0;0;0;0;0;0;1;0;2;0;6;1;1;2;1;2;2;3;1;1;0;1;0;3;27;;6;0960 - Sorinières Vers Nord;2024-11-16;Hors Vacances
0996;2024-11-16;7;9;7;1;0;0;0;5;15;11;15;13;15;20;30;29;27;28;24;13;4;3;8;11;295;;6;0996 - Van Iseghem vers Nord;2024-11-16;Hors Vacances
1056;2024-11-16;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;6;1056 -;2024-11-16;Hors Vacances
9999;2024-11-16;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;6;9999 -;2024-11-16;Hors Vacances
0745;2024-11-16;21;12;10;1;3;1;1;0;14;15;20;25;43;33;25;31;23;34;33;31;19;16;11;18;440;;6;0745 - Calvaire vers Ouest;2024-11-16;Hors Vacances
0747;2024-11-16;2;3;1;0;0;0;2;9;24;28;24;24;24;25;29;24;35;31;20;16;5;3;5;10;344;;6;0747 - Chemin de halage Tortière vers Nord;2024-11-16;Hors Vacances
0980;2024-11-16;1;1;0;0;0;0;0;0;0;0;4;2;0;2;0;2;3;1;1;0;0;0;0;0;17;;6;0980 - Pont Tabarly vers Sud;2024-11-16;Hors Vacances
0995;2024-11-16;2;8;2;4;1;2;4;10;16;43;63;55;57;47;47;60;66;58;39;44;27;15;13;10;693;;6;0995 - Ceineray vers Ouest;2024-11-16;Hors Vacances
0997;2024-11-16;2;3;1;1;0;1;1;2;5;18;32;22;24;18;18;33;25;23;17;17;13;1;0;1;278;;6;0997 - Van Iseghem vers Sud;2024-11-16;Hors Vacances
1041;2024-11-16;0;3;3;0;0;0;0;4;4;3;1;4;9;7;7;5;8;3;7;12;1;1;1;1;84;;6;1041 - Guy Mollet vers Nord;2024-11-16;Hors Vacances
1057;2024-11-16;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;6;1057 -;2024-11-16;Hors Vacances
9998;2024-11-16;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;6;9998 -;2024-11-16;Hors Vacances
0673;2024-11-16;17;14;8;4;1;3;2;3;9;12;18;21;26;30;29;32;37;34;35;30;23;4;21;19;432;;6;0673 - Pont de Pornic vers Sud;2024-11-16;Hors Vacances
0675;2024-11-16;19;16;6;2;0;1;2;6;15;32;32;43;46;38;35;73;45;65;39;52;34;15;28;27;671;;6;0675 - Pont Haudaudine vers Nord;2024-11-16;Hors Vacances
0682;2024-11-16;20;14;16;9;9;5;6;6;23;41;48;46;44;39;61;53;63;54;69;81;44;17;22;25;815;;6;0682 - pont Anne de Bretagne vers Sud;2024-11-16;Hors Vacances
0742;2024-11-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;6;0742 - Philippot vers Est;2024-11-16;Hors Vacances
0666;2024-11-16;2;5;2;0;2;0;0;4;7;7;5;7;8;4;11;13;7;7;7;14;1;1;3;4;121;;6;0666 - Pont Audibert vers Sud;2024-11-16;Hors Vacances
0667;2024-11-16;32;27;5;7;5;5;15;13;49;96;111;93;99;103;111;127;150;108;112;103;86;51;29;51;1588;;6;0667 - Entrée pont Audibert vers Nord;2024-11-16;Hors Vacances
0672;2024-11-16;8;1;4;1;0;0;0;1;17;27;11;35;32;17;29;48;35;29;28;24;16;6;7;5;381;;6;0672 - Pont de Pornic vers Nord;2024-11-16;Hors Vacances
0787;2024-11-16;20;16;11;9;9;4;7;10;55;89;130;123;130;101;98;149;144;163;94;112;66;37;24;25;1626;;6;0787 - 50 Otages Vers Sud;2024-11-16;Hors Vacances
8672;2024-11-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;6;8672 -;2024-11-16;Hors Vacances
0946;2024-11-16;13;10;2;1;2;3;1;6;13;23;15;11;31;23;21;15;29;34;32;30;34;18;9;23;399;;6;0946 - Magellan vers Est;2024-11-16;Hors Vacances
